State,District,Population_2020
Uttar Pradesh,Etah,2022907
Uttar Pradesh,Kasganj,1637860
Uttarakhand,Uttarkashi,376298
Uttarakhand,Chamoli,446430
Uttarakhand,Rudraprayag,276205
Uttarakhand,Tehri Garhwal,705581
Uttarakhand,Dehradun,1934231
Uttarakhand,Pauri Garhwal,783489
Uttarakhand,Pithoragarh,551120
Uttarakhand,Bageshwar,296284
Uttarakhand,Almora,709657
Uttarakhand,Champawat,295999
Uttarakhand,Nainital,1088250
Uttarakhand,Udham Singh Nagar,1879748
Uttarakhand,Haridwar,2155081
West Bengal,Darjeeling,2105378
West Bengal,Jalpaiguri,4415044
West Bengal,Cooch Behar,3213758
West Bengal,Uttar Dinajpur,3428133
West Bengal,Dakshin Dinajpur,1910955
West Bengal,Malda,4547283
West Bengal,Murshidabad,8098340
West Bengal,Birbhum,3992741
West Bengal,Paschim Bardhaman,3283614
West Bengal,Purba Bardhaman,5514408
West Bengal,Nadia,5891064
West Bengal,North 24 Parganas,11411150
West Bengal,Hooghly,6291825
West Bengal,Bankura,4100208
West Bengal,Purulia,3340331
West Bengal,Howrah,5529033
West Bengal,Kolkata,5126231
West Bengal,South 24 Parganas,9304636
West Bengal,Paschim Medinipur,6741341
West Bengal,Purba Medinipur,5809298
